;;Skalapoeng;;;
Prøve;;Gamle skalapoeng (før korrigering);;Nye skalapoeng (grunnlag for korrigering);
Skoleår;Prøvekode;Gjennomsnitt;Standardavvik;Gjennomsnitt;Standardavvik
2014/2015;Engelsk 5. trinn;49,97;9,88;49,97;9,59
2014/2015;Engelsk 8. trinn;49,99;9,96;49,98;9,73
2014/2015;Regning 5. trinn;49,98;9,87;49,99;9,53
2014/2015;Regning 8. trinn;49,99;9,94;49,98;9,69
2015/2016;Engelsk 5. trinn;49,68;9,85;48,36;10,05
2015/2016;Engelsk 8. trinn;50,00;9,88;50,89;10,14
2015/2016;Regning 5. trinn;49,97;9,69;50,52;10,03
2015/2016;Regning 8. trinn;50,10;9,77;51,68;9,87
2016/2017;Engelsk 5. trinn;49,81;9,82;49,34;10,16
2016/2017;Engelsk 8. trinn;50,00;9,83;50,99;9,89
2016/2017;Lesing 5. trinn;49,90;9,84;49,99;9,34
2016/2017;Lesing 8. trinn;49,92;9,98;49,99;9,53
2016/2017;Regning 5. trinn;49,97;9,66;50,59;10,04
2016/2017;Regning 8. trinn;50,00;9,72;50,81;9,92
2017/2018;Engelsk 5. trinn;50,17;9,68;50,37;10,89
2017/2018;Engelsk 8. trinn;50,16;9,70;50,97;9,94
2017/2018;Lesing 5. trinn;49,97;9,33;49,99;9,98
2017/2018;Lesing 8. trinn;50,02;9,54;50,54;10,01
2017/2018;Regning 5. trinn;50,04;9,59;50,99;10,29
2017/2018;Regning 8. trinn;50,08;9,66;51,07;10,07
2018/2019;Engelsk 5. trinn;50,26;9,68;51,61;11,51
2018/2019;Engelsk 8. trinn;50,22;9,70;51,50;10,18
2018/2019;Lesing 5. trinn;49,96;9,26;49,42;10,03
2018/2019;Lesing 8. trinn;50,02;9,49;50,71;10,01
2018/2019;Regning 5. trinn;49,98;9,61;51,06;10,65
2018/2019;Regning 8. trinn;49,99;9,67;51,10;10,37
2019/2020;Engelsk 5. trinn;50,13;9,76;50,50;12,38
2019/2020;Engelsk 8. trinn;50,21;9,74;51,66;10,49
2019/2020;Lesing 5. trinn;49,90;9,25;48,46;10,44
2019/2020;Lesing 8. trinn;50,01;9,38;50,39;9,58
2019/2020;Regning 5. trinn;49,81;9,61;49,84;10,80
2019/2020;Regning 8. trinn;49,87;9,57;50,40;9,93
2020/2021;Engelsk 5. trinn;50,26;9,77;51,16;12,52
2020/2021;Engelsk 8. trinn;50,20;9,63;52,40;10,08
2020/2021;Lesing 5. trinn;49,86;9,25;48,13;10,32
2020/2021;Lesing 8. trinn;49,81;9,47;48,78;9,66
2020/2021;Regning 5. trinn;49,71;9,59;48,24;11,40
2020/2021;Regning 8. trinn;49,73;9,66;49,11;10,37
2021/2022;Engelsk 5. trinn;50,52;9,79;53,34;12,67
2021/2022;Engelsk 8. trinn;50,38;9,61;53,49;10,07
2021/2022;Lesing 5. trinn;49,90;9,17;48,65;10,83
2021/2022;Lesing 8. trinn;49,81;9,54;48,41;9,79
2021/2022;Regning 5. trinn;49,87;9,60;49,76;11,06
2021/2022;Regning 8. trinn;49,74;9,64;49,27;10,55